idState,name,isoAlpha2,country
1,Acre,AC,1
2,Alabama,AL,2
3,Alagoas,AL,1
4,Alaska,AK,2
5,Amapá,AP,1
6,Amazonas,AM,1
7,American Samoa,AS,2
8,Arizona,AZ,2
9,Arkansas,AR,2
10,Bahia,BA,1
11,California,CA,2
12,Ceara,CE,1
13,Colorado,CO,2
14,Connecticut,CT,2
15,Delaware,DE,2
16,District of Columbia,DC,2
17,Distrito Federal,DF,1
18,Espírito Santo,ES,1
19,Florida,FL,2
20,Georgia,GA,2
21,Goiás,GO,1
22,Guam,GU,2
23,Hawaii,HI,2
24,Idaho,ID,2
25,Illinois,IL,2
26,Indiana,IN,2
27,Iowa,IA,2
28,Kansas,KS,2
29,Kentucky,KY,2
30,Louisiana,LA,2
31,Maine,ME,2
32,Maranhão,MA,1
33,Maryland,MD,2
34,Massachusetts,MA,2
35,Mato Grosso,MT,1
36,Mato Grosso do Sul,MS,1
37,Michigan,MI,2
38,Minas Gerais,MG,1
39,Minnesota,MN,2
40,Mississippi,MS,2
41,Missouri,MO,2
42,Montana,MT,2
43,Nebraska,NE,2
44,Nevada,NV,2
45,New Hampshire,NH,2
46,New Jersey,NJ,2
47,New Mexico,NM,2
48,New York,NY,2
49,North Carolina,NC,2
50,North Dakota,ND,2
51,Northern Mariana Islands,MP,2
52,Ohio,OH,2
53,Oklahoma,OK,2
54,Oregon,OR,2
55,Pará,PA,1
56,Paraíba,PB,1
57,Paraná,PR,1
58,Pennsylvania,PA,2
59,Pernambuco,PE,1
60,Piauí,PI,1
61,Puerto Rico,PR,2
62,Rhode Island,RI,2
63,Rio de Janeiro,RJ,1
64,Rio Grande do Norte,RN,1
65,Rio Grande do Sul,RS,1
66,Rondônia,RO,1
67,Roraima,RR,1
68,Santa Catarina,SC,1
69,São Paulo,SP,1
70,Sergipe,SE,1
71,South Carolina,SC,2
72,South Dakota,SD,2
73,Tennessee,TN,2
74,Texas,TX,2
75,Tocantins,TO,1
76,Trust Territories,TT,2
77,Utah,UT,2
78,Vermont,VT,2
79,Virgin Islands,VI,2
80,Virginia,VA,2
81,Washington,WA,2
82,West Virginia,WV,2
83,Wisconsin,WI,2
84,Wyoming,WY,2
